Term,fdr,es,nes,lead_genes,subset
G2-M Checkpoint,0.4705608158769549,-0.3796774663489534,-1.1901303099834872,TGFB1;TOP1;KIF5B;SYNCRIP;KPNB1;KIF20B;PRPF4B;HNRNPU;HSPA8;ATRX;UPF1;TRA2B;CUL3;RPA2;RAD23B;CDC27;PAFAH1B1;DKC1;XPO1;SRSF2;NASP;UBE2S;CTCF;DR1;CUL1;GSPT1;LIG3;CBX1;SRSF1;ODF2;ILF3;KPNA2;MT2A;NOLC1;SFPQ;PML;HNRNPD;MNAT1;YTHDC1;KATNA1;NSD2;SMAD3;BUB3,age_changes_AXL_DC_02202026
Oxidative Phosphorylation,0.6593649492920605,-0.3560011082615548,-1.1413217094534291,FH;TIMM17A;ETFA;NDUFS2;TCIRG1;NDUFS1;ATP6V1H;NDUFB8;PDHB;SUCLA2;NDUFA7;TIMM10;LRPPRC;ABCB7;POLR2F;SDHC;NDUFA9;SDHA;SDHD;TOMM22;MRPL34;MDH1;NDUFB5;DECR1;RHOT1;GRPEL1;TIMM8B;ECI1;SUCLG1;NDUFS8;MRPS30;OAT;ATP6V1D;OXA1L;ATP6V0E1;IDH3A;CYCS;ATP5F1A;ATP5PO;ATP5MC3;RHOT2;NQO2;ALAS1;ATP6V1E1;ECH1;ATP5MC1;CPT1A;PRDX3;ATP5F1C;HCCS;NDUFV2;MRPL35;POR;VDAC3;NDUFB3;SLC25A11;ETFB;DLAT;UQCRC2;COX8A;COX7A2L;ATP6V1G1;AIFM1;NDUFA5;NDUFA8;HADHB;TOMM70;VDAC2;PMPCA;ACAA2;HADHA;IDH3G,age_changes_AXL_DC_02202026
Myogenesis,0.6979029995414655,-0.3654660660203559,-1.090616612307428,TGFB1;EIF4A2;PRNP;GADD45B;PLXNB2;RB1;HDAC5;PDLIM7;FDPS;CD36;TSC2;APP;DAPK2,age_changes_AXL_DC_02202026
heme Metabolism,0.7099284050720263,-0.355601209921073,-1.122248841818256,MARK3;TOP1;CTSB;RAD23A;NCOA4;GLRX5;NEK7;HAGH;GCLC;PICALM;TFDP2;LMO2;RNF19A;MPP1;SIDT2;CDC27;UCP2;CAST;PSMD9;FBXO7;ATP6V0A1;CCND3;DCUN1D1;LAMP2;GAPVD1;BLVRB;SNCA;ADIPOR1;NR3C1;HEBP1,age_changes_AXL_DC_02202026
mTORC1 Signaling,0.7306995600793582,-0.34642614438709884,-1.1008579318956884,ACTR2;LGMN;GGA2;SKAP2;PNP;DAPP1;IFI30;SDF2L1;SLC1A5;ADD3;CYB5B;SSR1;UFM1;ACTR3;GCLC;ENO1;STIP1;PITPNB;M6PR;GLRX;USO1;ACSL3;PSMD13;EEF1E1;MTHFD2;RAB1A;PSMB5;COPS5;PSMA3;SLC9A3R1;HSP90B1;EGLN3;ATP6V1D;PSMD14;TXNRD1;NFKBIB;ATP5MC1;CALR;GTF2H1;HSPA4;XBP1;PNO1;CANX;HSPD1;SQSTM1;HPRT1;UBE2D3;PRDX1;CYP51A1;UCHL5;ATP2A2,age_changes_AXL_DC_02202026
UV Response Up,0.7328632220592886,-0.3568616487180988,-1.0914718827382948,MGAT1;IRF1;LYN;CYB5B;CNP;MARK2;PRKCD;TAP1;HNRNPU;STIP1;CDC5L;CASP3;PSMC3;CREG1;DNAJB1;IL6ST;BAK1;CCND3;GRPEL1;HYAL2;PPAT;MRPL23;ALAS1;NFKBIA;SQSTM1;DGAT1;GLS;ICAM1,age_changes_AXL_DC_02202026
DNA Repair,0.7338870978176485,-0.35381107484389845,-1.108992364377493,ZNRD1;ALYREF;POLR1D;PNP;TSG101;SRSF6;BCAP31;POLD4;NME1;ERCC1;SSRP1;RBX1;TAF9;NFX1;DDB1;GTF2B;POLR2F;SF3A3;RPA2;TAF10;POLE4;UPF3B;GTF2F1;ADA;NELFCD;NME3;POLR2E;GMPR2;RRM2B;ERCC5;AK3;POLB,age_changes_AXL_DC_02202026
Apical Junction,0.767002717156905,-0.35207939390458,-1.067130599481676,GNAI2;SKAP2;CDH1;ARHGEF6;FYB1;STX4;RAC2;PBX2;SHC1;PTEN;CAP1;MPZL1;GTF2F1;CD99;ACTN4;SYK;CTNND1;ACTG1;VCL;ICAM1;CTNNA1;VASP;AMIGO2;RASA1;ICAM2;HADH;DHX16;IKBKG;HRAS;MAP3K20;ICAM4;MYL12B;TSPAN4;B4GALT1;LDLRAP1;TIAL1;MYH9;TMEM8B;ACTB;SORBS3;CDK8;SIRPA;INSIG1;PECAM1;NF1;MAP4K2,age_changes_AXL_DC_02202026
Coagulation,0.8073550130826074,-0.35133863945124777,-1.0247242776493974,CTSB;LGMN;PLEK;MSRB2;LAMP2;GNB2;CASP9;CFD;PEF1;ANG,age_changes_AXL_DC_02202026
Myc Targets V2,0.821291146456445,-0.34917416774955734,-1.0297329293872197,FARSA;SRM;NDUFAF4;MRTO4;GRWD1;IMP4;BYSL;PHB;WDR43;NOC4L;HSPD1;NOLC1;TFB2M;NOP56;NOP2;RRP12;AIMP2;PPAN;PUS1;RABEPK;CDK4;NIP7;GNL3;SORD;TBRG4;MPHOSPH10;SUPV3L1;MYBBP1A,age_changes_AXL_DC_02202026
Wnt-beta Catenin Signaling,0.8286122895477678,-0.4030360408874887,-1.0359794289312605,NCSTN;NCOR2;HDAC5;CTNNB1;CUL1;SKP2;TP53;ADAM17;MAML1,age_changes_AXL_DC_02202026
Xenobiotic Metabolism,0.8337776132983475,-0.30679962556280604,-0.9592545138652094,SLC1A5;SAR1B;IRF8;PTGES3;AHCY;PTGDS;GCLC;DHRS7;CES1;CNDP2;KYNU;CD36;TNFRSF1A;GSTO1;BLVRB;ALAS1;NDRG2;ECH1;ID2;POR;HPRT1;MT2A;ETS2;ATP2A2;ARPP19;NMT1;LONP1;SERTAD1,age_changes_AXL_DC_02202026
Fatty Acid Metabolism,0.8505355243106473,-0.3110088189739025,-0.9627580035502649,UBE2L6;FH;ACSL5;PDHB;SUCLA2;RAP1GDS1;GLUL;SDHC;SDHA;SDHD;SERINC1;OSTC;PSME1;ACSL4;MDH1;DECR1;CD36;HMGCL;ECI1;SUCLG1;ACAT2;ECH1;CPT1A;HCCS,age_changes_AXL_DC_02202026
E2F Targets,0.8670102648149746,-0.28055594736774975,-0.8856420833544711,DCK;SYNCRIP;SMC6;IPO7;RFC1;NME1;SSRP1;LUC7L3;TRA2B;RBBP7;RPA2;MTHFD2;POLE4;NUP107;XPO1;SRSF2;NASP;UBE2S;CTCF;GSPT1;SRSF1;PRPS1;ILF3;KPNA2;SMC3;NOLC1;NCAPD2;AK2;HNRNPD;PPP1R8;NOP56;RAD51AP1;TP53;CKS2;TUBB;EIF2S1;CCP110;XRCC6;PDS5B;SLBP;USP1;CBX5;PRIM2;POP7;RAD50,age_changes_AXL_DC_02202026
Androgen Response,0.8674959848512854,-0.34525328556074286,-1.0360972956444112,SPCS3;NCOA4;PIAS1;RPS6KA3;TMEM50A;PTK2B;ZMIZ1;RAB4A;XRCC5;ACSL3;TNFAIP8;GNAI3;NDRG1;CCND3;IQGAP2;AKT1;LMAN1;RRP12;FADS1;SRP19;HMGCR;ZBTB10;PMEPA1;XRCC6;APPBP2;SLC38A2;ABHD2;UBE2I;NGLY1;SORD;GSR;HERC3;DBI;B4GALT1,age_changes_AXL_DC_02202026
p53 Pathway,0.867585820218503,-0.3078405678470329,-0.9661271950433654,TGFB1;IFI30;CTSD;PLXNB2;PRMT2;RB1;TAP1;NOL8;SLC3A2;CEBPA;CD81;RXRA;MAPKAPK3;VAMP8;NDRG1;TXNIP;MKNK2;BAK1;CCND3;ADA;APP;APAF1;JUN;ST14;TM7SF3;ERCC5;RALGDS;HEXIM1;CASP1;IRAK1;TPRKB;RHBDF2,age_changes_AXL_DC_02202026
Mitotic Spindle,0.874613991201587,-0.31901091951609073,-1.000006248888882,KIF5B;PREX1;MYO9B;ARL8A;KIF20B;RFC1;CNTRL;LRPPRC;LATS1;RABGAP1;MAP3K11;ROCK1;CDC27;SSH2;RALBP1;PAFAH1B1;WASF2;CEP131;ACTN4;PCM1;ABI1;CYTH2;MYO1E;RHOT2;ABR;TLK1;STK38L;HDAC6;SMC3;MAP1S;VCL;TRIO;SUN2;KATNA1,age_changes_AXL_DC_02202026
Adipogenesis,0.8776160721987406,-0.2951016733883879,-0.9343181202742252,PDCD4;TKT;SLC1A5;VEGFB;SAMM50;IFNGR1;DHRS7;SOD1;JAGN1;SDHC;UCP2;BAZ2A;DECR1;CD36;GHITM;GRPEL1;SUCLG1;PPM1B;SCARB1;IDH3A;ATP5PO;STAT5A;ECH1;PRDX3;COQ5;POR;DGAT1;ETFB;BCL2L13;MCCC1;AK2;DLAT;CMPK1;CPT2;COX8A;AIFM1;NDUFA5;NMT1;ACAA2;RREB1;IDH3G;ATL2;ESRRA;PPP1R15B;ADIPOR2;CCNG2;ARAF;HADH;NDUFAB1;UQCR10;CYC1;SQOR;SLC25A1;CD302;MTCH2,age_changes_AXL_DC_02202026
Estrogen Response Late,0.8802732317568855,-0.3045040291036309,-0.9231161850464812,PDCD4;CDH1;ADD3;NCOR2;NRIP1;AFF1;JAK2;IMPA2;SLC9A3R1;IL6ST;ST14;SCARB1;BLVRB;DNAJC1;ATP2B4;FABP5;ITPK1;XBP1;ID2;HPRT1;ETFB;JAK1;ARL3;PRKAR2B;LLGL2;SLC2A8;TSPAN13;BCL2;SIAH2;PTPN6;OPN3;ABHD2;CLIC3;MYOF;SORD,age_changes_AXL_DC_02202026
Apoptosis,0.8813169277026778,-0.3101497955704859,-0.9714724086821949,PDCD4;IRF1;CYLD;RARA;GADD45B;TIMP2;IL1B;BCAP31;TAP1;IFNGR1;DNM1L;CASP3;PEA15;SOD1;CTNNB1;ROCK1;DNAJC3;TXNIP;APP;JUN;CASP9;RHOT2;CASP2;TNF;CASP1;SQSTM1;MGMT;PLCB2;XIAP;DFFA;VDAC2;CREBBP;BMF,age_changes_AXL_DC_02202026
KRAS Signaling Up,0.8868695908450501,-0.2893707846799153,-0.8874464299858718,GNG11;CSF2RA;CBL;RABGAP1L;IRF8;IL1B;RBM4;GLRX;CTSS;PSMB8;IL10RA;ID2;ETS1;FCER1G;ITGB2;LCP1;PRELID3B;FUCA1;ADAM17;TSPAN13;NRP1;YRDC;STRN;LAPTM5;MAP3K1;DOCK2;CBR4;CD37;ST6GAL1;HDAC9;PLAU;ZNF277;ZNF639;LY96;PLVAP;NIN;CDADC1;PECAM1,age_changes_AXL_DC_02202026
Estrogen Response Early,0.8957217158502416,-0.32234853444091766,-0.9765548658137128,RARA;CBFA2T3;ADD3;NCOR2;NRIP1;ELF1;AFF1;MED13L;JAK2;AKAP1;SLC9A3R1;IL6ST;SLC39A6;SCARB1;BLVRB;UGCG;ITPK1;XBP1,age_changes_AXL_DC_02202026
Unfolded Protein Response,0.8984584293477591,-0.2897101900167305,-0.8933962109366735,EIF4A1;EIF4A2;KIF5B;SPCS3;SSR1;EIF4E;FUS;ATP6V0D1;MTHFD2;SHC1;DNAJC3;SDAD1;DKC1;EXOSC4;MTREX;HSP90B1;DCTN1;CXXC1;ATF4;CALR;XBP1;SLC30A5;NOLC1;SRPRB;NOP56,age_changes_AXL_DC_02202026
Apical Surface,0.8992868707243761,-0.39546323526318816,-0.9845050130465264,LYN;SULF2;FLOT2;APP;ADAM10;CRYBG1;ADIPOR2;NCOA6,age_changes_AXL_DC_02202026
Spermatogenesis,0.9076433121019108,0.15910443693212725,0.7554679054919633,PRKAR2A;DBF4;CLPB;TSN;PIAS2;TALDO1;PSMG1,age_changes_AXL_DC_02202026
Cholesterol Homeostasis,0.918856333182803,-0.3050301835382241,-0.896186167550795,ALCAM;LGMN;PLSCR1;S100A11;CTNNB1;ANTXR2;PMVK;FDPS;FABP5;ACAT2;ECH1;ACTG1;CYP51A1;SREBF2,age_changes_AXL_DC_02202026
Pperoxisome,0.962671439661865,-0.2208084928378804,-0.6635367146099593,ACSL5;LONP2;ERCC1;CTBP1;SOD1;ACSL4;FDPS;HMGCL;VPS4B;ECH1;CNBP;SLC25A19;PRDX1;CLN8;FADS1,age_changes_AXL_DC_02202026
Epithelial Mesenchymal Transition,0.9660713045929734,-0.25317928793603284,-0.7389612435455604,TGFB1;DAB2;GADD45B;TPM4;GPX7;P3H1;JUN;COPA;ID2;CD59;PPIB;LGALS1;FUCA1;PMEPA1;GLIPR1,age_changes_AXL_DC_02202026
Glycolysis,0.9683932833031428,-0.22334626182404374,-0.6991305897870234,PFKP;GLCE;GCLC;ENO1;GLRX;SOD1;SDHC;ME2;B3GALT6;MDH1;SLC35A3;PGAM1;NASP;MPI;UGP2;AKR1A1;EGLN3;AK3;CHST12;PRPS1;RPE;ANG;PGM2;HDLBP;ARPP19;B4GALT4;GALK2;GOT1;PPP2CB;PGLS;PGK1;KIF2A;LDHA;P4HA1;B3GAT3;STMN1;TXN;LHPP,age_changes_AXL_DC_02202026
Bile Acid Metabolism,0.979675235055637,-0.2628573169857114,-0.7508631214583936,ACSL5;LONP2;RXRA;SOD1;PEX16,age_changes_AXL_DC_02202026
Inflammatory Response,0.9921691628795961,-0.2571113791546449,-0.7892908645165522,NFKB1;IRF1;LYN;IL1B;IFNAR1;LY6E;RNF144B;GNAI3;IL10RA;RHOG;ABI1;LCP2;BST2;NFKBIA;SELL;RAF1;ICAM1;ATP2A2;SEMA4D;EIF2AK2;PTPRE;PIK3R5,age_changes_AXL_DC_02202026
Reactive Oxygen Species Pathway,0.9989460925801822,-0.26215228833410964,-0.7578398935404148,PRNP;PFKP;NDUFS2;GCLC;GLRX;SOD1;MBP,age_changes_AXL_DC_02202026
Interferon Alpha Response,0.00046095340529328163,-0.486832067224381,-2.024801246501942,LY6E;USP18;EPSTI1;IRF9;IFI35;IFI44L;SAMD9L;ISG15;UBE2L6;PSME2;PLSCR1;SELL;PARP14;NMI;MX1;IRF7;PSMA3;IFI44;IFI27;CNP;IFITM2;SAMD9;IRF2;OAS1;BST2;RSAD2;SP110;PSMB8;CMPK2;CCRL2;MVB12A;NCOA7;DHX58;IRF1;IFIH1;PSMB9;SLC25A28;CSF1;LAP3;TRIM5,age_changes_Adaptive_NK_02202026
p53 Pathway,0.023782701214169484,0.36167011514468433,1.703547848022153,TOB1;CDKN2A;F2R;CCNG1;CASP1;FAS;PVT1;PMM1;SEC61A1;CYFIP2;AEN;NDRG1;XPC;S100A4;RB1;RETSAT;CGRRF1;CTSF;PERP;RPS27L;EPS8L2;SAT1;DDB2;SLC19A2;ANKRA2;ZFP36L1;S100A10;FDXR;UPP1;DDIT4;ELP1;PROCR;RPL18;COQ8A;CCNK;MDM2;BTG1;CEBPA;SP1;PPM1D;RPL36;KIF13B;FAM162A;SLC3A2;ABCC5;RALGDS;GM2A;TNFSF9;DGKA;TRAFD1;CDKN2B;TSPYL2;PRKAB1;TXNIP;PIDD1;WRAP73;CDKN2AIP;PLK3,age_changes_Adaptive_NK_02202026
Notch Signaling,0.024430530480543926,-0.47011057286365676,-1.5294003601993753,NOTCH1;LFNG;DLL1;RBX1;PSEN2;PRKCA;PSENEN,age_changes_Adaptive_NK_02202026
Mitotic Spindle,0.027746484749864398,0.3273527116777013,1.566566303362541,PCGF5;KIF22;EZR;FLNA;ARHGAP5;LATS1;PALLD;MYH9;CNTROB;DYNC1H1;VCL;ARHGAP10;SPTAN1;KIF3C;PCNT;BCR;LLGL1;TUBA4A;BCL2L11;PXN;SUN2;ARHGAP4;OPHN1;ARHGDIA;TUBGCP2;TLK1;HOOK3;STAU1;UXT;ALMS1;KIF3B;RICTOR;PRC1;LRPPRC;RACGAP1;INCENP;EPB41;MAPRE1;CKAP5;CEP131;NOTCH2;WASL;ECT2;ATG4B;PDLIM5;ABI1;CENPJ;RABGAP1;ARHGEF7;MAP3K11;KATNB1;RHOT2;RAB3GAP1;BRCA2;KPTN;NUSAP1;TBCD;TUBGCP3;CDC27;SSH2;ARFIP2;NDC80;KLC1;KIF5B;TUBD1,age_changes_Adaptive_NK_02202026
Coagulation,0.02906774592842937,0.3880705333650537,1.6157099099453707,CTSH;CAPN2;CLU;BMP1;LRP1;CFH;ANXA1;SERPINA1;F8;CTSB;FYN;ADAM9;THBS1;PRSS23;CSRP1;USP11;CPQ;TIMP1;LTA4H;C8G;A2M;WDR1;ISCU;CRIP2;C1R;CFD,age_changes_Adaptive_NK_02202026
Interferon Gamma Response,0.02950101793877002,-0.332699406531068,-1.5386570445416166,CD38;IFNAR2;LY6E;USP18;EPSTI1;GPR18;IRF9;IRF8;IFI35;IFI44L;SAMD9L;ISG15;UBE2L6;PSME2;PLSCR1;BANK1;PARP14;NMI;MX1;IL2RB;XAF1;IRF7;PSMA3;PSMA2;KLRK1;IFI44;IFI27;IFITM2;IRF2;GZMA;VAMP8;OAS3;IFIT1;BST2;RSAD2;CASP4;SP110;ST3GAL5;SAMHD1;XCL1;PSMB8;CMPK2;NFKB1;ARL4A;DHX58;PSMB2;SPPL2A;ISOC1;IRF1;EIF4E3;IFIH1;TNFSF10;RBCK1;PSMB9;SECTM1;SLC25A28;PTPN6;SLAMF7;OAS2;LAP3;RNF213;PIM1,age_changes_Adaptive_NK_02202026
Allograft Rejection,0.02980765218842575,0.35222491063019723,1.6337328740935129,CD4;CDKN2A;CD2;F2R;HLA-DMA;IFNGR1;HLA-DQA1;CD40LG;CTSS;FLNA;IL7;IRF4;RIPK2;FAS;NCF4;SIT1;HLA-DRA;TAPBP;MAP4K1;CD74;HIF1A;NPM1;CCR5;STAT4;TPD52;CD8A;IL4R;HLA-DMB;EIF3D;CCL5;HCLS1;CD96;ITK;SPI1;CD3G;TRAT1;LCP2;WAS;STAT1;PRKCB;GLMN;TLR1;TIMP1;TNF;MRPL3;ABI1;CD3D;HLA-E;CD8B;CRTAM;CD3E;CFP;APBB1;MAP3K7;GBP2;IL15;IL12RB1;IFNGR2,age_changes_Adaptive_NK_02202026
heme Metabolism,0.030124754871281346,0.3411465491423649,1.5683942625802172,PRDX2;BNIP3L;AQP3;DCAF11;SEC14L1;BLVRA;ISCA1;MXI1;MGST3;AGPAT4;CTSB;GDE1;EIF2AK1;FBXO7;RIOK3;MKRN1;BACH1;ALAD;NUDT4;RAD23A;FN3K;TCEA1;SIDT2;TRAK2;BPGM;ATP6V0A1;PPP2R5B;OPTN;EPOR;CIR1;NFE2L1;NFE2;VEZF1;DMTN;DCAF10;ASNS;EPB41;RNF19A;SLC10A3;ENDOD1;RCL1;HTATIP2;ALDH6A1;LRP10;ADIPOR1;CDR2;ARL2BP;CAST;NCOA4;KAT2B;TENT5C;TMEM9B;FOXJ2;MAP2K3;BSG;KHNYN;CDC27,age_changes_Adaptive_NK_02202026
Fatty Acid Metabolism,0.03171026828555931,0.3557107732907172,1.586595749832962,ENO2;GABARAPL1;HSD17B11;LGALS1;GLUL;SUCLG2;SLC22A5;D2HGDH;ERP29;BLVRA;ACSL1;SERINC1;ELOVL5;SDHA;BCKDHB;HSDL2;CD36;RETSAT;ADIPOR2;ACADVL;ALAD;MIF;ALDOA;S100A10;RAP1GDS1;FASN;ODC1;DHCR24;NCAPH2;DLST;ACAA1;ACSM3;METAP1;ACSL4;UGDH;LDHA;DLD;G0S2,age_changes_Adaptive_NK_02202026
Adipogenesis,0.03171026828555931,0.33837845093613295,1.5746917263530933,TOB1;RAB34;IFNGR1;SLC5A6;GPAT4;PLIN2;GPHN;BAZ2A;RNF11;MGST3;G3BP2;RTN3;CMPK1;RIOK3;CD36;RETSAT;DHCR7;EPHX2;TANK;ADIPOR2;PHYH;IMMT;TKT;PEMT;PFKL;CD302;ALDOA;DLAT;CS;SLC1A5;PEX14;SQOR;REEP5;GPX4;BCL2L13;MCCC1;CD151;CHCHD10;NDUFA5;UQCRC1;QDPR;DLD;PFKFB3;LIPE;SLC25A1;ACOX1;BCL6;FAH;PGM1;ESYT1;CRAT;STAT5A;SOD1;ACO2;UBQLN1;PDCD4,age_changes_Adaptive_NK_02202026
Hypoxia,0.0321066466391288,0.3591954164092361,1.647946068147558,IGFBP3;ENO2;PFKP;PLIN2;MT1E;BNIP3L;ERRFI1;BCL2;NDRG1;PLAUR;MYH9;CXCR4;HK1;KLHL24;MXI1;S100A4;PNRC1;GPI;TPD52;ANXA2;HSPA5;CDKN1B;ISG20;MIF;VHL;SLC37A4;PFKL;ALDOA;VLDLR;DDIT4;AMPD3;PDK1;BHLHE40;CITED2;P4HA1;PGK1;BTG1;MT2A;LDHA;FAM162A;PFKFB3;TGFBI;GYS1;SLC25A1;GAA;SLC2A3;CASP6,age_changes_Adaptive_NK_02202026
